CODE,LAT,LON,MESH1ST,MESH2ND,MESH3RD,MESH4TH,MESH5TH
11016014400,42.998611,141.338166,6441,644132,64413297,644132973,6441329733
11016014500,42.998943,141.338184,6441,644132,64413297,644132973,6441329733
11016014600,42.968416,141.164422,6441,644131,64413163,644131631,6441316311
11016014800,42.96153,141.279162,6441,644132,64413252,644132521,6441325214
11016014900,43.01397,141.345682,6441,644142,64414217,644142174,6441421741
11016015100,43.007525,141.314102,6441,644142,64414205,644142053,6441420533
11016015200,43.074823,141.304711,6441,644142,64414284,644142843,6441428434
11016015300,43.063666,141.287583,6441,644142,64414273,644142733,6441427331
11016015400,43.07199,141.298211,6441,644142,64414283,644142834,6441428342
11016015500,43.071027,141.292611,6441,644142,64414283,644142833,6441428332
11016015600,43.069518,141.290434,6441,644142,64414283,644142831,6441428313
11016015700,43.069824,141.286601,6441,644142,64414282,644142822,6441428224
11016015800,43.086294,141.275685,6441,644152,64415202,644152021,6441520213
11016015900,43.086794,141.276879,6441,644152,64415202,644152021,6441520213
11016016000,43.078628,141.290212,6441,644142,64414293,644142931,6441429313
11016016300,43.071351,141.282768,6441,644142,64414282,644142824,6441428241
11016016500,43.074407,141.314182,6441,644142,64414285,644142853,6441428533
11016016600,43.071491,141.312016,6441,644142,64414284,644142844,6441428442
11016016800,43.072435,141.311766,6441,644142,64414284,644142844,6441428442
11016016900,43.077406,141.30671,6441,644142,64414294,644142942,6441429423
11016017000,43.076333,141.307333,6441,644142,64414294,644142942,6441429421
11016017500,43.056963,141.243744,6441,644141,64414169,644141693,6441416934
11016017600,43.056075,141.256132,6441,644142,64414260,644142603,6441426032
11016017800,43.054634,141.464532,6441,644143,64414367,644143673,6441436731
11016017900,43.037691,141.469032,6441,644143,64414347,644143474,6441434741
11016018000,43.041969,141.473754,6441,644143,64414357,644143572,6441435722
11016018100,43.03558,141.460783,6441,644143,64414346,644143462,6441434624
11016018200,43.043524,141.464615,6441,644143,64414357,644143571,6441435711
11016018300,43.046608,141.489919,6441,644143,64414359,644143593,6441435931
11016018500,43.048329,141.481808,6441,644143,64414358,644143584,6441435843
11016018600,43.031636,141.466449,6441,644143,64414337,644143373,6441433734
11016018700,43.022693,141.469088,6441,644143,64414327,644143274,6441432741
11016018800,43.037469,141.481142,6441,644143,64414348,644143481,6441434814
11016019000,43.022804,141.458339,6441,644143,64414326,644143264,6441432641
11016019200,43.130194,141.207305,6441,644151,64415156,644151564,6441515641
11016019300,43.122928,141.198856,6441,644151,64415145,644151454,6441514544
11016019400,43.145555,141.23325,6441,644151,64415178,644151782,6441517823
11016019700,43.116818,141.268351,6441,644152,64415241,644152411,6441524112
11016019800,43.107569,141.263435,6441,644152,64415221,644152213,6441522133
11016019900,43.100431,141.257186,6441,644152,64415220,644152202,6441522021
11016020000,43.10457,141.257463,6441,644152,64415220,644152204,6441522041
11016020100,43.094598,141.260075,6441,644152,64415210,644152102,6441521024
11016020200,43.122111,141.243,6441,644151,64415149,644151493,6441514932
11016020300,43.115596,141.262073,6441,644152,64415230,644152304,6441523044
11016020400,43.129511,141.251379,6441,644152,64415250,644152503,6441525031
11016020600,42.999278,141.439286,6441,644133,64413395,644133953,6441339533
11016020700,42.976944,141.444388,6441,644133,64413375,644133752,6441337521
11016021000,43.071416,141.438722,6441,644143,64414385,644143853,6441438531
11016021100,42.999528,141.440147,6441,644133,64413395,644133953,6441339533
11016021200,43.000389,141.441925,6441,644143,64414305,644143051,6441430512
11016021400,42.982586,141.45948,6441,644133,64413376,644133764,6441337644
11016021500,43.000778,141.44748,6441,644143,64414305,644143052,6441430522
11016021600,43.008888,141.42625,6441,644143,64414314,644143141,6441431411
11016021700,43.006861,141.431138,6441,644143,64414304,644143043,6441430434
11016021900,42.989113,141.46023,6441,644133,64413386,644133864,6441338642
11016022000,43.100991,141.535635,6441,644154,64415422,644154222,6441542222
11016022100,43.11175,141.545222,6441,644154,64415433,644154332,6441543323
11016022300,43.092944,141.519555,6441,644154,64415411,644154112,6441541121
11016022400,43.092242,141.52733,6441,644154,64415412,644154121,6441541211
11016022500,42.842299,141.65872,6441,644125,64412512,644125122,6441251221
11016022700,42.833022,141.637028,6441,644115,64411590,644115904,6441159044
11016022800,42.843944,141.639888,6441,644125,64412511,644125111,6441251113
11016022900,42.820468,141.64811,6441,644115,64411581,644115812,6441158124
11016023000,42.835327,141.643999,6441,644125,64412501,644125012,6441250121
11016023100,42.820078,141.62464,6441,644114,64411489,644114892,6441148924
11016023200,42.813023,141.59156,6441,644114,64411477,644114773,6441147732
11016023400,42.900361,141.57775,6441,644124,64412486,644124861,6441248611
11016023600,42.910929,141.560641,6441,644124,64412494,644124942,6441249424
11016023700,42.920817,141.57514,6441,644134,64413406,644134061,6441340613
11016023800,42.882905,141.587724,6441,644124,64412457,644124573,6441245733
11016023900,42.886987,141.57928,6441,644124,64412466,644124661,6441246614
11016024000,42.979727,141.564443,6441,644134,64413475,644134753,6441347531
11016024300,42.967671,141.495894,6441,644133,64413369,644133692,6441336921
11016024500,43.16812,141.343009,6441,644162,64416207,644162071,6441620712
11016024700,43.1404,141.292959,6441,644152,64415263,644152633,6441526334
11016024900,43.163147,141.310373,6441,644152,64415294,644152944,6441529442
11016025000,43.170416,141.320416,6441,644162,64416205,644162052,6441620523
11016025200,43.218729,141.526825,6441,644164,64416462,644164621,6441646211
11016025400,43.196555,140.994758,6440,644067,64406739,644067394,6440673941
11016025700,43.192305,140.995722,6440,644067,64406739,644067392,6440673921
11016025900,43.185612,141.007619,6441,644160,64416020,644160202,6441602023
11016026000,43.185751,141.005008,6441,644160,64416020,644160201,6441602014
11016026100,43.194528,140.998481,6440,644067,64406739,644067392,6440673924
11016026400,43.175641,141.055005,6441,644160,64416014,644160141,6441601412
11016026600,43.12875,141.211,6441,644151,64415156,644151562,6441515624
11016026700,43.136537,141.174746,6441,644151,64415163,644151632,6441516324
11016026800,43.179279,141.013091,6441,644160,64416011,644160113,6441601131
11016027000,43.215664,140.982592,6440,644067,64406758,644067584,6440675843
11016027200,43.186556,140.999898,6440,644067,64406729,644067292,6440672924
11016027300,43.184166,141.019305,6441,644160,64416021,644160212,6441602121
11016027600,42.800924,140.602198,6440,644014,64401468,644014681,6440146811
11016027900,42.905165,140.754403,6440,644026,64402680,644026803,6440268032
11016028000,42.978527,140.517555,6440,644034,64403471,644034711,6440347114
11016028200,43.188497,140.813635,6440,644066,64406625,644066253,6440662531
11016028500,43.188291,141.75264,6441,644166,64416620,644166203,6441662031
11016028700,43.202151,141.762111,6441,644166,64416640,644166402,6441664024
11016028800,43.215,141.787111,6441,644166,64416652,644166524,6441665244
11016028900,43.216122,141.794969,6441,644166,64416653,644166534,6441665343
11016029100,43.195361,141.765527,6441,644166,64416631,644166311,6441663113
11016029300,43.189708,141.737586,6441,644165,64416529,644165293,6441652933
11016029500,43.329444,141.870333,6441,644176,64417699,644176994,6441769941
11016029600,43.333639,141.857847,6541,654106,65410608,654106082,6541060821
11016030000,43.521374,142.184978,6542,654221,65422124,654221244,6542212442
11016030100,43.518291,142.195727,6542,654221,65422125,654221252,6542212521
11016030200,43.542176,142.119288,6542,654220,65422059,654220592,6542205921
11016030300,43.556091,142.05321,6542,654220,65422064,654220643,6542206432
11016030500,43.239565,141.80344,6441,644166,64416684,644166843,6441668432
11016030600,43.246944,141.869805,6441,644166,64416699,644166994,6441669941
11016030700,43.557505,141.905611,6541,654127,65412762,654127623,6541276234
11016030900,43.560444,141.902638,6541,654127,65412772,654127721,6541277213
11016031000,43.571725,141.899111,6541,654127,65412781,654127814,6541278142
11016031100,43.559005,141.911082,6541,654127,65412772,654127722,6541277222
11016031300,43.47693,141.902004,6541,654117,65411772,654117721,6541177211
11016031400,43.494539,141.904753,6541,654117,65411792,654117921,6541179214
11016031500,43.510678,142.024214,6542,654220,65422011,654220112,6542201124
11016032000,43.716111,142.04025,6542,654240,65424053,654240533,6542405333
11016032200,43.716527,142.030333,6542,654240,65424052,654240523,6542405234
11016032300,43.117382,141.742839,6441,644155,64415549,644155491,6441554912
11016032400,43.069525,141.651821,6441,644145,64414582,644145821,6441458213
11016032500,43.426268,141.883924,6541,654117,65411710,654117102,6541171021
11016032600,43.011977,141.780396,6441,644146,64414612,644146121,6441461214
11016032700,43.007643,141.693265,6441,644145,64414505,644145053,6441450534
11016032800,43.059417,141.78956,6441,644146,64414673,644146731,6441467311
11016032900,43.340722,141.674222,6541,654105,65410503,654105034,6541050344
11016033000,43.545228,141.875141,6541,654127,65412750,654127501,6541275013
11016033300,44.008572,142.152375,6642,664201,66420112,664201121,6642011211
11016033400,42.313594,140.97669,6340,634037,63403778,634037783,6340377831
11016033500,42.348146,141.031045,6341,634140,63414012,634140123,6341401234
11016033600,42.315705,140.985022,6340,634037,63403778,634037784,6340377844
11016033700,42.357395,141.016823,6341,634140,63414021,634140213,6341402134
11016033800,42.35234,141.023462,6341,634140,63414021,634140212,6341402124
11016033900,42.347146,141.028823,6341,634140,63414012,634140123,6341401232
11016034000,42.37928,140.942162,6340,634047,63404755,634047553,6340475532
11016034600,42.63857,141.60365,6341,634174,63417468,634174683,6341746832
11016034800,42.642403,141.609927,6341,634174,63417478,634174782,6341747822
11016034900,42.623792,141.514297,6341,634174,63417441,634174413,6341744133
